CODLINHA,NOMELINHA,CODVEICULO,NUMEROCARTAO,DATAUTILIZACAO,COMPLETENESS,CONSISTENCY,CONFORMITY
,,ZZ570,,,20,0,25
030,INTERBAIRROS V,,3272162420666,25-10-15 14:0:8,80,60,25
,,,8173316541B,,20,0,0
J0,,91156,,,40,0,25
3S0,POMPÉIA / JANAÍNA,,,02/05/08 20:39:00,60,20,50
W348,,,,,20,0,0
,INTERBAIRROS V,,,,20,20,0
MWJ,,YN145,3238211,25-10-15 18:58:51,80,20,75
021,INTERB II ANTI H,55560,3221963,,80,60,75
870,OP. CONTIGENCIA,,596937435301,,60,40,25
AT290,,BN628,,30/07/72 14:50:22,60,20,50
685,OP. CONTIGENCIA,,,,40,40,25
,,97600W,,25/10/15 12:33:21,40,20,25
,OPER S/LINHA,,,,20,20,0
911,,AC004,976,16/06/60 00:46:05,80,40,100
,SAVÓIA,,,,20,20,0
,SAVÓIA,CL121,,,40,20,25
EYZZ,,2W845,,,40,0,0
,OP. CONTIGENCIA,KQ003,9931A,,60,20,25
,SÃO BERNARDO,DV499,3237165,25/10/15 12:08:07,80,40,75
,,19673,13956C,,40,0,25
,OPER S/LINHA,OT559,,,40,20,25
GC5,ALTO BOQUEIRÃO,,3210254,25-10-15 03:03:59,80,40,50
,,,,,0,0,0
338,,LE669,3233320,25/10/15 10:45:50,80,40,100
,TUBO MARECHAL,,,,20,20,0
,OPER S/LINHA,810832,,,40,20,0
3FP8,TARUMÃ,,928357877762,25-10-15 03:5:2,80,40,0
,OPER S/LINHA,05039,3179638,,60,40,50
,INTERBAIRROS V,,3231035,,40,20,25
,OPER S/LINHA,ES6091,4,,60,20,25
000,,40615,3152203,,60,20,75
,OPER S/LINHA,,3152203,01/10/70 00:03:06,60,20,50
,INTERBAIRROS V,DB022,5917,25-10-15 21:38:07,80,60,50
,OPER S/LINHA,03009,3152203,,60,40,50
000,OPER S/LINHA,ZO4709,64805t,,80,60,25
000,OPER S/LINHA,,3167053,25-10-15 04:18:02,80,80,50
332,,,3167053,,40,20,50
,TUBO MARECHAL,KU393,,30/11/77 00:07:20,60,20,50
Y,OPER S/LINHA,,3206188,,60,20,25
F,,05068,3206188,,60,20,50
000,OPER S/LINHA,1BT4987,,25-10-15 17:07:22,80,80,25
000,,,,20/09/27 00:02:03,40,20,50
,,975394,592,25-10-15 23:13:14,60,20,25
,STA. FELICIDADE,,,25-10-15 17:04:57,40,40,0
,STA. FELICIDADE,,,,20,20,0
638,JD. CENTAURO,03R014S,3214096,,80,40,50
GDGW0,OP. CONTIGENCIA,,633,25-10-15 18:00:35,80,40,25
,,GP856,197225401,,40,0,50
,SOLITUDE,,4w,,40,20,0
,,KB602,,,20,20,25
000,OPER S/LINHA,03013,,,60,80,50
,,,,,0,0,0
,OP. CONTIGENCIA,08038,,08/07/33 03:32:05,60,40,50
S,CABRAL / PORTÃO,,,25-10-15 00:43:1,60,40,0
860,,67Z089,,25/10/15 16:49:00,60,40,50
370,,,,,20,20,25
,,,4043256112i,09/10/60 00:00:04,40,0,25
338,OPER S/LINHA,1742062,9,25-10-15 08:08:3,100,60,50
RH,OPER S/LINHA,49807,,25/10/15 11:44:56,80,40,50
000,OPER S/LINHA,84786,48382987h,25/10/15 18:41:34,100,80,75
,OPER S/LINHA,7UR3723,904592404068,,60,20,0
,,22881,,11/12/44 00:55:36,40,0,50
,B.ALTO/STA.CA,,,06/02/21 08:02:00,40,20,25
030,INTERBAIRROS III,KB602,40359,,80,80,75
030,OPER S/LINHA,KB602,,05/11/73 09:10:30,80,60,75
000,OPER S/LINHA,KA873,,,60,60,50
,OPER S/LINHA,,313,31/08/92 20:04:08,60,20,50
UA,OP. CONTIGENCIA,,3231019,,60,20,25
625,,HN403,72986586z,08/05/29 05:37:31,80,40,75
,BAIRRO NOVO A,957601T,,25-10-15 05:6:29,60,40,0
655,OPER S/LINHA,HRQ4983,3216113,26/12/75 20:24:00,100,40,75
,INTERB II ANTI H,,3216113,01/12/12 00:04:05,60,20,50
,OPER S/LINHA,XX870,3253496,25-10-15 19:07:23,80,40,50
04,OPER S/LINHA,,,,40,20,0
,OP. CONTIGENCIA,05006,,,40,40,25
,OPER S/LINHA,R3J030,,25-10-15 15:07:19,60,40,0
,,,1181,25-10-15 00:50:04,40,20,25
,OPER S/LINHA,04001,5357367285439Y,,60,40,25
182,OP. CONTIGENCIA,09743,3254193,31/11/25 16:00:52,100,40,100
3,,,,,20,0,0
D,,FI912,436618645,,60,0,50
761,ESTUDANTES,HA011,3246273,25/10/15 11:17:46,100,80,100
8J64,,,,25-10-15 17:02:06,40,20,0
826,,XC338,6351931884147i,31/12/37 00:34:08,80,20,75
,,KB279,3172491,,40,0,50
000,,08057,3172491,,60,40,75
628,,HA025,4886203058207P,,60,40,50
640,PALMEIRA,,,,40,60,25
86,,,,25-10-15 21:7:8,40,20,0
G12,,,3152299,05/06/96 23:45:05,60,0,75
,OSTERNACK/BOQ.,BN405,3152299,25/10/15 12:06:28,80,60,75
OPC,FANNY,SRR7941,3152299,,80,40,50
PO,S.RITA/PINHEIRIN,QA665,,25-10-15 00:5:1,80,40,25
338,,,,25/10/15 18:22:16,40,40,50
TXA,INTERBAIRROS IV,72759,3188881,,80,40,75
,ITATIAIA,JA006,,25/10/15 09:56:18,60,60,50
XB9QL,,92689V,3197424,31/02/51 00:51:46,80,0,50
VJ,,AC931,3189337,16/11/09 23:28:06,80,20,75
7B5,OPER S/LINHA,,,31/12/52 02:35:03,60,20,50
,,22496H,,26/05/04 00:40:23,40,0,25
,OPER S/LINHA,,,,20,20,0
168,,ZQ047Z,,25/10/15 18:21:26,60,40,50
CH,,79798,3209283,26/09/64 23:06:01,80,0,75
000,,4O547U,6895221896318,25-10-15 16:6:04,80,40,25
T,PETRÓPOLIS,,,25-10-15 00:06:33,60,40,0
2I0,INTERBAIRR II H,,,25-10-15 03:03:18,60,40,25
CQEH,OPER S/LINHA,KA602,3180007,30/06/11 18:08:04,100,40,75
,RIO BONITO,,3229224,,40,20,25
000,OPER S/LINHA,GJ9596,3229224,25-10-15 11:8:09,100,80,50
OPC,OPER S/LINHA,,,25/10/15 17:21:30,60,60,50
000,,,,,20,20,25
050,OPER S/LINHA,9M595,,,60,40,25
46LE7,OP. CONTIGENCIA,,3246170,25-10-15 00:33:03,80,40,25
211,,98842,,25-10-15 8:5:04,60,40,50
SN13N,OPER S/LINHA,47279,,,60,20,25
636,,AC928,,,40,40,50
712,OP. CONTIGENCIA,03014,3217783,15/01/18 23:09:51,100,60,100
,INTERBAIRROS IV,,5727152471i,25/10/15 11:28:58,60,40,25
2CWA5,OPER S/LINHA,74652,,25-10-15 3:47:04,80,40,25
972,OPER S/LINHA,,,,40,40,25
628,INTERBAIRROS I H,,,25/10/15 19:27:34,60,60,50
,ACRÓPOLE,AC851,10001488,25/10/15 10:30:06,80,60,75
OW8,OPER S/LINHA,,,,40,20,25
,OLARIA,BA117,1f,25-10-15 21:28:30,80,60,25
,,BA117,,,20,20,25
UF02,OPER S/LINHA,,,25/10/15 08:46:45,60,40,25
,INTERB II ANTI H,01000,3251031,,60,40,50
,,24734,,25/10/15 07:58:58,40,20,50
15,OP. CONTIGENCIA,90208Q,3248320,25/10/15 10:12:12,100,40,50
9,OPER S/LINHA,AC014,789015504028Z,25/10/15 08:34:39,100,60,50
000,,,,,20,20,25
000,,OP146,,01/05/36 23:01:33,60,20,75
,JÚLIO GRAF,,1145647948313h,,40,20,0
,OPER S/LINHA,2T125X,3255104,,60,20,25
,OP. CONTIGENCIA,,3249727,,40,20,25
000,OP. CONTIGENCIA,,,,40,40,25
I4,SÃO BRAZ,00N801I,,,60,20,0
,OPER S/LINHA,44183,,,40,20,25
,,L9U633E,,25/10/15 16:28:45,40,20,25
ARA,B.ALTO/BOA VISTA,31101,,27/11/74 00:36:07,80,40,75
,,05058,,,20,20,25
000,OPER S/LINHA,,3226993,25/10/15 17:57:34,80,80,75
,OPER S/LINHA,,396f,,40,20,0
,OPER S/LINHA,856327U,,25/10/15 12:29:16,60,40,25
000,,,3251544,25/10/15 22:56:36,60,40,75
,,91097,70,,40,0,50
000,OP. CONTIGENCIA,,,25-10-15 07:2:52,60,60,25
OPC,RIO BONITO,OY555,,,60,40,50
176,,D6V9218,3254810,25-10-15 00:50:40,80,40,50
652,OPER S/LINHA,EBH0558,,25/10/15 12:45:40,80,60,50
,TERMINAL PINHEIRINHO,03002,1,,60,40,50
,,89082,,05/08/17 06:54:03,40,0,50
171,OPER S/LINHA,,3171324,25/10/15 22:11:58,80,60,75
L67,IGUAPE II,GA143,,25-10-15 14:27:09,80,60,50
,,A90831,,,20,0,0
,OPER S/LINHA,JC860,53637x,25-10-15 5:40:9,80,60,25
,V. ROSINHA,B724320,707v,22/12/63 00:07:05,80,20,25
40,,QV649,,,40,0,25
,OP. CONTIGENCIA,,9491305613q,25-10-15 14:02:2,60,40,0
643,,6L479,3159383,,60,20,50
,,21318,3155107,,40,0,50
021,OPER S/LINHA,AP258,3155107,,80,40,75
7,,68677,,25/10/15 19:22:47,60,20,50
5K63,,03047,8644776910481I,,60,20,25
000,,LA411,3165132,13/04/78 21:02:56,80,20,100
Y6C00,,HA017,932095d,,60,20,25
HS,S.RITA/PINHEIRIN,02665,3180641,01/10/93 00:12:09,100,20,75
,OPER S/LINHA,8L711,3169109,25-10-15 00:48:04,80,40,25
000,,,,,20,20,25
OPC,,28J9632,,25/10/15 17:23:09,60,40,50
000,OPER S/LINHA,39284,34689,25-10-15 5:05:04,100,80,75
9,INTERB II ANTI H,R1C7822,3210008,25/10/15 16:56:10,100,40,50
658,,70O220,623599,,60,20,50
OPC,OPER S/LINHA,09027,,26/10/15 00:01:26,80,60,75
000,,,3172736,,40,20,50
B0B9,TUBO SAO PEDRO  ,09056,740332243372,25/10/15 11:12:05,100,60,50
,TUBO SAO PEDRO  ,82108,3173593,,60,20,50
,SISTEMA ARAUCARIA,00177,,25-10-15 23:07:38,60,60,25
,CANAL BELÉM,,,,20,20,0
000,,RL683,1809574c,31/07/02 22:08:03,80,20,75
,OPER S/LINHA,,,25-10-15 23:09:5,40,40,0
542,,CR990,3246904,,60,20,75
OPC,,,,,20,20,25
,TUBO XAXIM,09059,3204766,,60,40,50
809,OPER S/LINHA,08059,3204766,,80,60,75
,OPER S/LINHA,,,25-10-15 10:07:45,40,40,0
,,,,25-10-15 12:07:09,20,20,0
,,,,,0,0,0
Q2N,M.HERMES/STA.EFI,,752,25-10-15 09:0:08,80,40,50
650,POMPÉIA / JANAÍNA,,3326403,25/10/15 18:25:05,80,60,75
,OP. CONTIGENCIA,HA027,3326403,25-10-15 16:11:07,80,60,50
,OPER S/LINHA,03010,3326403,25-10-15 21:52:09,80,60,50
000,OP. CONTIGENCIA,,852200071,25-10-15 22:06:1,80,60,50
77,RIO BONITO,HA011,,,60,40,25
,,03021,165O,25-10-15 00:01:02,60,40,25
I,,03044,7196688845185,25/10/15 17:40:22,80,40,50
650,,78695,26X,25-10-15 06:08:55,80,40,50
9,OPER S/LINHA,05012,,25/10/15 16:30:35,80,60,50
000,,HD551,18551970,25-10-15 10:07:4,80,40,75
658,MATEUS LEME,,,06/10/61 23:04:40,60,40,50
000,OPER S/LINHA,,3328371,08/03/05 12:07:28,80,60,75
616,,HN402,,25/10/15 10:57:44,60,60,75
N,OPER S/LINHA,HEL190,2762673680i,,80,20,0
63,TERMINAL PINHEIRINHO,03002,,25-10-15 00:45:22,80,60,25
,C.RASO/CAIUÁ,,724156500,,40,20,25
57O9B,,DP238E,,,40,0,0
,RIO BONITO,YX061,6j,01/12/79 00:09:47,80,20,50
R1J9,COTOLENGO,,,06/11/94 00:03:51,60,20,25
QZD8,OPER S/LINHA,734876Y,,25/10/15 07:52:02,80,40,25
,,,0469261039,31/12/15 15:01:40,40,0,50
7,OPER S/LINHA,00037,3260669,25/10/15 19:25:59,100,60,75
233,,27439,,25-10-15 23:01:54,60,40,50
468,,6118224,992751564583t,25/10/15 13:43:40,80,40,50
EL,JD. CENTAURO,DC293,3274063,25/10/15 13:43:51,100,60,75
468,JD. CENTAURO,,0089w,21/10/01 22:04:07,80,60,50
468,OP. CONTIGENCIA,,07079355f,25-10-15 16:9:20,80,60,25
000,,,,07/12/25 12:07:06,40,20,50
Z6YFK,JD. CENTAURO,,,25/10/15 20:49:54,60,40,25
,,,,31/09/12 00:34:02,20,0,25
,,,4262,31/01/00 05:45:07,40,0,50
,,,3271701,25/10/15 07:28:54,40,20,50
,,28042,3271701,,40,0,50
1K,,,3604508,25-10-15 03:12:6,60,20,25
53,OPER S/LINHA,,71937c,09/10/15 12:59:02,80,20,25
000,INTERBAIRR II H,09022,3280242,,80,60,75
000,,00023,3280242,20/12/36 00:39:01,80,40,100
532,OPER S/LINHA,28961,3329545,,80,40,75
,OPER S/LINHA,,,04/05/84 22:04:09,40,20,25
,,15019,3334992,,40,0,50
000,OPER S/LINHA,BG909V,3334992,,80,60,50
R2P,N. SRA. DA LUZ,,3325848,25-10-15 00:43:09,80,40,50
000,RIO BONITO,03001,805321u,27/07/06 01:07:11,100,60,75
,OPER S/LINHA,70717,,,40,20,25
000,,,,25-10-15 00:00:0,40,40,25
NHP,,2G559,,25/10/15 18:00:16,60,20,50
040,BIGORRILHO,,,,40,40,25
040,OP. CONTIGENCIA,HB605,3655757491,25/11/82 07:41:16,100,60,100
000,OP. CONTIGENCIA,,424,,60,40,50
000,OP. CONTIGENCIA,,3333461,30/10/11 09:02:57,80,40,75
,TUBO SAO PEDRO  ,RCF9734,,18/10/94 07:08:02,60,20,25
CF,,03005,3324479,25-10-15 04:08:6,80,40,50
,OPER S/LINHA,1NE819,3308139,25-10-15 21:03:3,80,40,25
,TERMINAL PINHEIRINHO,,6275,,40,20,25
ER960,INTERBAIRR II H,PP634,3322713,,80,20,50
,,,3322713,,20,0,25
638,OPER S/LINHA,QZ819,3322713,,80,40,75
000,,CI287,3306978,09/11/99 06:09:00,80,20,100
,,,3319032,,20,0,25
,OPER S/LINHA,33295,1,,60,20,50
000,HAUER/BOQUEIRÃO,39268,,25-10-15 22:34:50,80,60,50
000,OPER S/LINHA,,,25-10-15 16:21:57,60,80,25
,OPER S/LINHA,06053,3306797,25/10/15 21:35:48,80,60,75
876,OPER S/LINHA,,84,25/10/15 23:45:41,80,60,75
000,,EA191,3320952,09/12/89 22:43:43,80,40,100
232,,ED654C,040776,,60,20,50
8V,JD.INDEPEND./CIC,BA122,3324277,,80,40,50
,,,,,0,0,0
,,03004,499089908142,,40,20,25
0G7,V. CUBAS,JA005,3321187,,80,40,75
,,,5775516073793f,30/09/45 23:22:05,40,0,25
07N7Y,OPER S/LINHA,04010,3303299,,80,40,50
,OP. CONTIGENCIA,AA025,,,40,40,25
273K1,OPER S/LINHA,AA025,9y,25-10-15 20:54:4,100,60,25
000,OP. CONTIGENCIA,,,,40,40,25
OPC,OP. CONTIGENCIA,,,25-10-15 06:16:11,60,80,25
629,INTERBAIRROS V,,828f,,60,40,25
9W1,SÃO BRAZ,1G4099,3010,,80,20,50
000,RIO BONITO/CIC,,931U,,60,40,25
000,CENTENÁRIO/HAUER,04011,038188,25-10-15 06:48:9,100,80,75
,,,3302252,04/02/02 00:48:01,40,0,50
028Z,CABRAL / PORTÃO,HA016,,25/10/15 13:05:31,80,60,50
OPC,OP. CONTIGENCIA,18E708,848691w,,80,60,25
A6D,,,,,20,0,25
,BARREIRINHA,05056,83,25/10/15 14:52:40,80,60,75
L61,OPER S/LINHA,0L817S,,25/10/15 14:52:35,80,40,50
PC,,88S245N,,30/11/00 18:05:55,60,0,25
ZLI,OPER S/LINHA,,3303449,,60,20,50
655,,49728,3303449,25-10-15 01:20:2,80,40,75
655,JD. ORDEM,,0363,,60,60,50
13,,CL360,3303449,31/08/49 20:22:23,80,0,75
N0N,OPER S/LINHA,RQ475,779078j,,80,20,50
,,,3265092,25/10/15 18:12:19,40,20,50
000,,,3,,40,20,50
W19,OPER S/LINHA,,3257878,25/10/15 15:51:32,80,40,75
,OPER S/LINHA,,,,20,20,0
VO2ES,,01023,3268449,,60,20,50
,OPER S/LINHA,DX269,5917300F,,60,20,25
684,RIO BONITO,,3310555,,60,60,50
,OP. CONTIGENCIA,14O434D,3310555,,60,20,25
030,,XU103,,25/10/15 09:58:17,60,40,75
,,47P138,16310128190,,40,0,0
,,7T6614,1694475304,25/10/15 18:26:33,60,20,50
O8BX2,OPER S/LINHA,,3300500,25-10-15 00:26:07,80,40,25
,,00038,3309913,,40,20,50
000,,00038,,,40,40,50
000,OPER S/LINHA,,,,40,60,25
000,OPER S/LINHA,,3,25-10-15 00:04:03,80,80,50
AQB,,2222904,3310182,01/12/59 01:00:29,80,0,75
000,OPER S/LINHA,,4758782533,,60,60,50
E,OPER S/LINHA,08065,,25-10-15 19:5:56,80,60,25
711,,94560,47687179375o,25-10-15 00:57:1,80,40,50
000,,03035,3304152,,60,40,75
000,OPER S/LINHA,DY563,5,09/12/38 11:01:00,100,60,100
,OPER S/LINHA,,60144741633,,40,20,0
021,,MY508M,5452853,25/10/15 19:20:42,80,40,75
000,OP. CONTIGENCIA,,6105460,,60,40,50
,OPER S/LINHA,,97,25-10-15 18:3:05,60,40,25
000,,,373786F,25-10-15 22:42:45,60,40,25
I6OK,OPER S/LINHA,,0741434014,,60,20,25
000,OPER S/LINHA,92832,860470060,25/10/15 20:08:18,100,80,100
OPC,OPER S/LINHA,99919,3333316,09/06/94 00:09:09,100,40,100
X,OPER S/LINHA,,23748105959943,,60,20,0
F136,OSTERNACK/BOQ.,MX885,3324314,25-10-15 00:19:01,100,40,50
,JD. LUDOVICA,,,25-10-15 21:24:13,40,40,0
000,,08045,3264476,,60,40,75
658,TRABALHADOR,KA600,3337020,,80,60,75
IDV76,,2017433,993,14/11/77 00:46:39,80,0,50
,,,,25-10-15 00:03:02,20,20,0
OPC,AGRÍCOLA,0B032,,,60,40,25
38,OPER S/LINHA,G69686S,3303578,25-10-15 00:08:02,100,40,25
,GRAMADOS,XT100,,25-10-15 5:00:3,60,40,25
652,,,3264900,20/11/44 01:58:09,60,20,75
,PALOTINOS,,,,20,20,0
OPC,OP. CONTIGENCIA,,,31/09/07 16:38:05,60,60,50
,CENTENÁRIO/HAUER,,,,20,20,0
8VT,OPER S/LINHA,98014,,30/09/57 23:58:02,80,20,75
,,,3287050,,20,0,25
,,,3900402q,25-10-15 7:5:8,40,20,0
0T4,OPER S/LINHA,,8264693455,22/01/35 00:04:47,80,20,75
000,OP. CONTIGENCIA,30930,,,60,40,50
,AHÚ/LOS ANGELES,,10026465,,40,20,25
YS,,,3338168,,40,0,25
021,OPER S/LINHA,F63796M,,25/10/15 09:01:37,80,60,50
OPC,,RA752,,,40,20,50
,V. SANDRA,,09688200013n,25-10-15 16:9:02,60,40,0
,JD. CHAPARRAL,323086,,25-10-15 12:42:21,60,40,0
020,SÃO BENEDITO,ZD612,,,60,40,50
000,OPER S/LINHA,,3293407,25/10/15 17:52:13,80,80,75
WWM,,,3294092,25-10-15 20:12:48,60,20,50
,,,5795,29/10/43 00:04:00,40,0,50
000,SÃO BRAZ,GA169,,25-10-15 00:00:41,80,80,50
,,92014,,25/10/15 08:01:09,40,20,50
,OPER S/LINHA,03037,3282360,,60,40,50
,,,174226,07/01/17 12:03:07,40,0,50
,OPER S/LINHA,,,,20,20,0
000,,,3293823,30/05/12 20:07:58,60,20,75
513K1,OPER S/LINHA,36210,3293823,,80,20,50
7O7,,ER508,42403744788,,60,0,50
000,OP. CONTIGENCIA,,3293823,,60,40,50
R756,,,,,20,0,0
7VQY4,,,233910356,25-10-15 13:38:22,60,20,25
98661,OPER S/LINHA,,,,40,20,0
000,,04002,3293823,09/01/67 21:31:03,80,40,100
901,CASSIOPÉIA,BN402,,,60,60,50
C92,OPER S/LINHA,84868,,25/10/15 08:34:15,80,40,75
UE91,OPER S/LINHA,05041,3936F,25/10/15 16:52:21,100,60,50
100L,,,,25/10/15 11:33:11,40,20,25
,BANES/CALIFÓRNIA,,727z,,40,20,0
,OPER S/LINHA,,,25/10/15 15:48:40,40,40,25
000,ABAETÉ,,,25-10-15 04:8:3,60,60,25
,,ZC0394,,25/10/15 18:34:35,40,20,25
000,INTERBAIRR II H,DR102,,25/10/15 11:56:54,80,80,75
611,OPER S/LINHA,8AC5668,9669266409436,,80,40,25
050,,,,,20,20,25
000,,89998,,11/01/41 23:02:03,60,20,75
,,CX024,3061412970,14/10/42 01:10:07,60,0,75
000,RUA XV / BARIGUI,,197,31/02/47 10:04:01,80,40,75
0924,TRABALHADOR,AC932,,,60,40,25
,CARBOMAFRA,,3269377,25-10-15 23:09:23,60,40,25
0XK1A,,MK923,7301055y,08/10/10 09:53:02,80,0,50
000,,,,,20,20,25
231,OPER S/LINHA,,4974501M,,60,40,25
,,,5w,,20,0,0
,MARIA ANGÉLICA,03014,,,40,40,25
662,,SZ6452,3408944,25/10/15 14:56:26,80,40,75
,,92229,3365142,25/10/15 06:08:01,60,20,75
000,OPER S/LINHA,92389,,,60,60,50
468,JD. CENTAURO,92171,6065945648786,,80,60,50
468,JD. CENTAURO,,8311,,60,60,50
000,OPER S/LINHA,,3406623,,60,60,50
Q91J6,,DA032,,25-10-15 20:48:22,60,40,25
000,OPER S/LINHA,,695600,25/10/15 20:15:44,80,80,75
S0O4M,CENTENÁRIO/HAUER,4Y820,3410581,25/10/15 13:02:43,100,40,50
000,,9XR994R,701871548929k,02/02/60 05:05:01,80,20,50
000,OPER S/LINHA,,,,40,60,25
,,09025,74401069O,,40,20,25
,,,,,0,0,0
,CABRAL / PORTÃO,20692X,,,40,20,0
S6V5V,S.RITA/PINHEIRIN,81405,3409226,25/10/15 18:36:00,100,40,75
FK25P,INTERBAIRROS IV,JB499,,25/10/15 16:02:56,80,60,50
,,09004,3342225,25-10-15 15:48:29,60,40,50
000,OPER S/LINHA,88788,051598433710G,13/10/00 00:02:38,100,60,75
,,06046,,,20,20,25
811,,7A590,,25-10-15 12:9:38,60,40,25
4,INTERB II ANTI H,00040,3412693,25/10/15 09:36:28,100,60,75
,,00009,868662748178,25-10-15 17:06:04,60,40,25
E3701,,PU095,,,40,0,25
,,,769G,,20,0,0
,OPER S/LINHA,0H651,3348690,25/10/15 11:25:58,80,40,50
ARA,C.COMP/C.RASO,,563H,,60,40,25
,,,3380893,,20,0,25
3,OPER S/LINHA,,,25-10-15 22:05:20,60,40,0
8I2F6,OP. CONTIGENCIA,YC249,442,28/05/86 12:04:23,100,20,75
7,,,1371524840,25/10/15 09:26:28,60,20,50
FY8H,OPER S/LINHA,04003,,25-10-15 20:09:47,80,60,25
,MATEUS LEME,02041,,25-10-15 04:05:54,60,60,25
OPC,OP. CONTIGENCIA,,84306,25-10-15 2:6:0,80,80,50
,OPER S/LINHA,76124,9,,60,20,50
,,P24381,,25-10-15 09:00:01,40,20,0
F2EW,B.ALTO/BOA VISTA,0O776,,25/10/15 08:08:13,80,40,25
,OPER S/LINHA,AYE9509,3384571,25/10/15 08:05:14,80,40,50
,,GN603,3364508,27/08/15 00:01:37,60,20,75
EOUD3,NOVO MUNDO,,3364508,25-10-15 14:30:5,80,40,25
,OPER S/LINHA,GN600,,,40,40,25
,,03009,56069967807019,,40,20,25
000,,,3374440,25-10-15 19:2:6,60,40,50
000,OPER S/LINHA,,,,40,60,25
X,,567187D,3392073,,60,0,25
965,,,,,20,20,25
,CENTENÁRIO/HAUER,93905,8669978067713,25-10-15 18:00:07,80,40,25
474,,9237649,3356683,25-10-15 16:43:46,80,40,50
,,56K300O,3404832,,40,0,25
040,OPER S/LINHA,HB606,,27/07/73 06:28:00,80,60,75
,,3Q755,,25/10/15 12:42:31,40,20,25
M,,,3409111,22/12/98 14:07:31,60,0,50
336,V. RENO,86608,3409111,,80,60,75
,ESTUDANTES,EZ364,8w,22/07/51 20:05:06,80,20,50
,OPER S/LINHA,74312,,25-10-15 14:38:38,60,40,25
,,35B107,,25/10/15 08:34:28,40,20,25
020,UBERABA,18261,3397569,,80,40,75
QK1,,,88882728314s,25-10-15 02:0:30,60,20,25
372,,CU939,,25/10/15 20:11:23,60,40,75
169,,,3382518,25-10-15 23:01:31,60,40,50
7,OPER S/LINHA,,3416451,,60,20,25
,,,3416451,25/10/15 21:46:42,40,20,50
606,OPER S/LINHA,,143142589731y,,60,20,25
,OPER S/LINHA,53579,3416470,04/09/09 07:58:00,80,20,75
,,,3416470,,20,0,25
000,OPER S/LINHA,,,25-10-15 00:24:08,60,80,25
,OPER S/LINHA,,645,25/10/15 21:29:16,60,40,50
205,,,3402026,03/12/77 19:06:43,60,20,75
4C,OPER S/LINHA,JF239,3403581,25/10/15 11:42:55,100,40,75
685,OPER S/LINHA,90380,3345943,,80,40,75
629,,03014,,25-10-15 06:08:02,60,60,50
828,,05709,,09/07/91 12:01:08,60,20,75
,C.COMP/C.RASO,LA005,8107784363573u,25-10-15 7:01:02,80,60,25
,,,169671244306,,20,0,0
OPC,,,,,20,20,25
NS,,05040,3408999,,60,20,50
030,INTERBAIRROS III,,,25-10-15 23:18:23,60,80,25
,HIGIENÓPOLIS,QE2439,42749152,,60,20,25
,,AC032,,25/10/15 09:10:26,40,40,50
000,OP. CONTIGENCIA,,3340570,29/06/20 14:00:09,80,40,75
29,OPER S/LINHA,,3340570,,60,20,25
000,,03021,3336177,25/10/15 16:39:22,80,60,100
,OPER S/LINHA,GA173,,25-10-15 00:09:37,60,60,25
46A,,,3399530,,40,0,50
000,OP. CONTIGENCIA,,,25/10/15 06:05:11,60,60,50
,CANAL BELÉM,GC002,,25-10-15 18:57:6,60,60,25
000,OPER S/LINHA,,3391295,,60,60,50
,INTERBAIRROS IV,,,,20,20,0
C9,,GA143,3374972,,60,20,50
335,OPER S/LINHA,JW369,3402908,10/08/18 00:40:03,100,40,100
545,,,,25-10-15 22:01:06,40,40,25
000,BAIRRO NOVO A,00012,,01/10/32 00:51:26,80,60,75
680,,,190555027051,25-10-15 20:0:01,60,40,25
000,OPER S/LINHA,HA030,3410381,,80,80,75
611,,09150D,94119021998,25/10/15 11:37:46,80,40,50
HRN,POMPÉIA / JANAÍNA,,0037f,25/10/15 06:31:32,80,40,50
000,OPER S/LINHA,05018,,,60,80,50
000,,8UP620,,,40,20,25
,OPER S/LINHA,71695,182888658939L,05/02/32 04:05:08,80,20,50
D1,STA. FELICIDADE,,,22/12/27 07:08:02,60,20,25
,,UG921,3363741,18/09/64 08:44:37,60,0,75
000,OP. CONTIGENCIA,XF841,61289067h,,80,40,50
3,NILO PEÇANHA,38952,,,60,20,25
205,BARREIRINHA,421694,,25-10-15 00:32:04,80,80,25
TPH,,,,20/06/22 00:37:24,40,20,50
6W,,,,,20,0,0
,OPER S/LINHA,,3384128,25/10/15 10:53:07,60,40,50
000,,8U9204,,25/10/15 17:51:56,60,40,50
,FUTURAMA,IL067,,23/03/20 07:05:31,60,20,50
93MTY,ABAETÉ,ZO101,3390918,25-10-15 03:06:01,100,40,50
,BRACATINGA,06053,3365914,25/10/15 19:33:33,80,60,75
,OPER S/LINHA,EJ3445,,25-10-15 00:01:01,60,40,0
,,02051,610,25-10-15 4:08:35,60,20,50
000,OPER S/LINHA,,,25-10-15 12:54:57,60,80,25
000,OPER S/LINHA,93E574A,3404428,25-10-15 00:38:1,100,80,50
,,,90288o,,20,0,0
,,6O207,,,20,0,0
,PORTÃO / CIC,01001,3392592,25/10/15 22:20:27,80,60,75
,,,15899788u,,20,0,0
OPC,JD.INDEPEND./CIC,LH8923,60471A,25-10-15 3:59:37,100,60,25
777,OPER S/LINHA,09070,422381129662,,80,60,50
,OPER S/LINHA,05D3721,,,40,20,0
000,OPER S/LINHA,,475,,60,60,50
OPC,,96122,,,40,20,50
